建物名,住所,標高,構造,階数,lng,lat
青島地域総合センター,青島西2丁目1,14.0,SRC,3,131.4620348,31.8020466
宮崎日大学園学生寮桜俊館,大字新名爪1206,13.0,RC,4,131.4550914,31.9761759
県営住宅住吉北7棟,大字島之内11000北,9.4,RC,4,131.4600147,31.9912631
潤和会記念病院,大字小松1119北7南,6.5,RC,6,131.4026914,31.93512299999999
アビタシオン宮本,佐土原町下田島12219-40,9.4,RC,6,131.4762754,32.0314615
介護療養医療施設佐土原病院,佐土原町上田島3873,5.6,RC,3,131.4062045,32.0498793
GardenCityヴァンサンカン,佐土原町下那珂695-8,4.6,RC,3,131.4662707,32.0072291
EKビルⅡ,佐土原町下田島12220-3,10.4,RC,4,131.4762754,32.0314615
MY・エスポアール,佐土原町上田島3757-2,7.7,RC,3,131.4062045,32.0498793
久留米運送株式会社宮崎流通センター,佐土原町下田島4-18604,5.4,RC,6,131.4762754,32.0314615
シーサイド石崎,佐土原町下那珂617-3,4.9,RC,3,131.4798758,32.0091616
県営住宅松小路Ａ3棟,佐土原町下田島9526-2,10.1,RC,3,6,131.4762754,32.0314615
サンフローラTM,佐土原町下田島9511-1,10.2,RC,3,131.4762754,32.0314615
サンフローラTMⅡ,佐土原町下田島9504,10.2,RC,3,131.4762754,32.0314615
サンフローラTMⅢ,佐土原町下田島9689-1,11.2,RC,3,131.4762754,32.0314615
BLUECIEL,佐土原町下那珂1247,6.3,RC,4,131.4662707,32.0072291
ホンダロック厚生棟,佐土原町下那珂3700,6.3,S,3,131.4662707,32.0072291
ホンダロック試験棟,佐土原町下那珂3700,6.3,S,2,131.4662707,32.0072291
リリービラⅠ,佐土原町下田島19664-1,4.0,RC,3,131.4762754,32.0314615
二ツ立避難タワー,佐土原町下田島15165-1,2.2,RC,4,131.4762754,32.0314615
ＨＯＴＥＬＡＺ宮崎佐土原店,佐土原町松小路7-8,11.9,RC,10,131.4764709,32.0222731
